FAA Airport,Latitude,Longitude,ElevationInFeet,NOP Facility
KOA,19.7388,-156.0460,47.1,NO MATCH
LAF,40.4123,-86.9369,605.9,NO MATCH
LAL,27.9889,-82.0186,142.0,TPA
LAN,42.7787,-84.5874,860.8,AZA
LAS,36.0801,-115.1520,2181.4,LAS
LAW,34.5677,-98.4166,1110.3,NO MATCH
LAX,33.9425,-118.4080,127.7,SCT
LBB,33.6636,-101.8230,3282.4,LBB
LBE,40.2759,-79.4048,1198.7,NO MATCH
LCH,30.1261,-93.2233,14.6,LCH
LEB,43.6261,-72.3042,603.3,ZBW
LEE,28.8231,-81.8087,75.9,MCO
LEX,38.0365,-84.6059,979.3,LEX
LFT,30.2053,-91.9876,41.3,LFT
LGA,40.7772,-73.8726,20.6,N90
LGB,33.8177,-118.1520,60.4,SCT
LIH,21.9760,-159.3390,152.5,NO MATCH
LIT,34.7294,-92.2243,266.0,LIT
LMT,42.1561,-121.7330,4095.3,NO MATCH
LNK,40.8510,-96.7592,1218.6,R90
LNS,40.1217,-76.2961,402.6,MDT
LOU,38.2280,-85.6637,545.6,SDF
LRD,27.5438,-99.4616,508.0,ZHU
LSE,43.8790,-91.2567,655.6,ZMP
LUK,39.1033,-84.4186,483.3,CVG
LVK,37.6934,-121.8200,399.9,NCT
LWB,37.8583,-80.3995,2301.6,ZDC
LWM,42.7172,-71.1234,147.7,A90
LWS,46.3745,-117.0150,1441.9,ZSE
LYH,37.3267,-79.2004,938.2,ROA
LZU,33.9781,-83.9624,1061.9,A80
MAF,31.9425,-102.2020,2872.1,MAF
MBS,43.5329,-84.0796,668.2,AZA
MCI,39.2976,-94.7139,1026.9,MCI
MCN,32.6928,-83.6492,354.2,A80
MCO,28.4294,-81.3090,96.4,MCO
MDH,37.7781,-89.2520,411.2,ZKC
MDT,40.1935,-76.7634,309.7,MDT
MDW,41.7860,-87.7524,619.8,C90
MEI,32.3326,-88.7519,298.0,NO MATCH
MEM,35.0424,-89.9767,340.9,MEM
MER,37.3805,-120.5680,190.6,NCT
MFD,40.8214,-82.5166,1297.0,CLE
MFE,26.1758,-98.2386,107.2,CRP
MFR,42.3742,-122.8730,1335.0,EUG
MGM,32.3006,-86.3940,221.1,MGM
MGW,39.6429,-79.9163,1243.7,CKB
MHK,39.1410,-96.6708,1066.2,NO MATCH
MHR,38.5539,-121.2980,98.4,NCT
MHT,42.9326,-71.4357,266.4,A90
MIA,25.7932,-80.2906,8.5,MIA
MIC,45.0620,-93.3539,869.3,M98
MIE,40.2423,-85.3959,937.4,IND
MKC,39.1232,-94.5928,756.8,MCI
MKE,42.9472,-87.8966,728.5,MKE
MKG,43.1695,-86.2382,628.5,AZO
MKK,21.1529,-157.0960,453.9,NO MATCH
MKL,35.5999,-88.9156,433.6,ZME
MLB,28.1028,-80.6453,33.3,MCO
MLI,41.4485,-90.5075,589.6,MLI
MLU,32.5109,-92.0377,79.1,MLU
MMU,40.7994,-74.4149,186.6,N90
MOB,30.6912,-88.2428,218.7,MOB
MOD,37.6258,-120.9540,99.2,NCT
MOT,48.2594,-101.2800,1715.7,NO MATCH
MQY,36.0090,-86.5201,543.1,BNA
MRI,61.2135,-149.8440,137.3,NO MATCH
MRY,36.5870,-121.8430,256.6,NCT
MSN,43.1399,-89.3375,886.6,MSN
MSO,46.9163,-114.0910,3205.6,MSO
MSP,44.8820,-93.2218,841.8,M98
MSY,29.9934,-90.2580,3.7,MSY
MTN,39.3257,-76.4138,21.5,PCT
MVY,41.3931,-70.6143,66.9,A90
MWA,37.7550,-89.0111,471.7,ZKC
MWC,43.1104,-88.0344,744.8,MKE
MWH,47.2077,-119.3200,1188.6,MWH
MYF,32.8157,-117.1400,427.3,SCT
MYR,33.6797,-78.9283,24.5,MYR
NEW,30.0424,-90.0283,7.3,MSY
NMM,32.5521,-88.5556,315.8,NO MATCH
NQA,35.3567,-89.8703,319.4,MEM
OAJ,34.8282,-77.6088,95.0,ILM
OAK,37.7213,-122.2210,9.0,NCT
OCF,29.1726,-82.2242,89.7,JAX
OGD,41.1959,-112.0120,4472.5,S56
OGG,20.8986,-156.4300,53.3,NO MATCH
OJC,38.8476,-94.7376,1096.2,MCI
OKC,35.3931,-97.6007,1295.8,OKC
OLM,46.9694,-122.9030,207.8,S46
OLV,34.9787,-89.7869,401.5,MEM
OMA,41.3032,-95.8941,984.5,R90
OMN,29.3006,-81.1136,27.9,DAB
ONT,34.0560,-117.6010,944.0,SCT
OPF,25.9070,-80.2784,8.0,MIA
ORD,41.9786,-87.9048,680.0,C90
ORF,36.8946,-76.2012,26.7,ORF
ORH,42.2673,-71.8757,1009.0,Y90
ORL,28.5455,-81.3329,112.8,MCO
OSH,43.9844,-88.5570,808.4,MKE
OSU,40.0798,-83.0730,905.5,CMH
OTH,43.4171,-124.2460,17.4,ZSE
OUN,35.2456,-97.4721,1181.7,OKC
OWB,37.7401,-87.1668,407.3,EVV
OWD,42.1905,-71.1729,49.2,A90
OXC,41.4786,-73.1352,726.4,N90
OXR,34.2008,-119.2070,44.8,NO MATCH
PAE,47.9063,-122.2820,607.5,S46
PAH,37.0608,-88.7738,410.4,ZME
PAO,37.4611,-122.1150,6.8,NCT
PBI,26.6832,-80.0956,19.6,PBI
PDK,33.8756,-84.3020,998.4,A80
PDT,45.6951,-118.8410,1496.6,GEG
PDX,45.5887,-122.5980,30.8,P80
PGD,26.9202,-81.9905,25.5,RSW
PHF,37.1319,-76.4930,42.2,ORF
PHL,39.8719,-75.2411,36.1,PHL
PHX,33.4343,-112.0120,1134.6,P50
PIA,40.6642,-89.6933,660.7,T75
PIE,27.9102,-82.6874,10.5,TPA
PIH,42.9098,-112.5960,4451.8,ZLC
PIT,40.4915,-80.2329,1202.9,PIT
PKB,39.3451,-81.4392,858.6,ZID
PMD,34.6294,-118.0850,2542.5,NO MATCH
PMP,26.2471,-80.1111,19.3,MIA
PNE,40.0819,-75.0106,119.9,PHL
PNS,30.4734,-87.1866,120.9,P31
POC,34.0916,-117.7820,1013.9,SCT
POU,41.6266,-73.8842,163.5,N90
PPG,-14.3317,-170.7115,32.0,NO MATCH
PRC,34.6545,-112.4200,5045.1,P50
PSC,46.2647,-119.1190,410.2,GEG
PSP,33.8297,-116.5070,476.4,SCT
PTK,42.6655,-83.4201,980.6,D21
PUB,38.2891,-104.4970,4729.4,D01
PVD,41.7326,-71.4204,54.0,G90
PVU,40.2192,-111.7230,4497.2,S56
PWA,35.5342,-97.6471,1299.6,OKC
PWK,42.1142,-87.9015,646.8,C90
PWM,43.6462,-70.3093,75.7,PWM
RAL,33.9519,-117.4450,818.9,SCT
RAP,44.0453,-103.0570,3203.5,NO MATCH
RBD,32.6809,-96.8682,667.0,D10
RDD,40.5090,-122.2930,504.7,ZOA
RDG,40.3785,-75.9652,343.5,RDG
RDM,44.2541,-121.1500,3081.5,ZSE
RDU,35.8776,-78.7875,435.2,RDU
RFD,42.1954,-89.0972,742.0,RFD
RHV,37.3329,-121.8190,135.4,NCT
RIC,37.5052,-77.3197,167.5,PCT
RME,43.2338,-75.4070,503.7,SYR
RNM,33.0392,-116.9150,1394.6,SCT
RNO,39.4991,-119.7680,4414.9,NCT
RNT,47.4931,-122.2160,32.0,S46
ROA,37.3255,-79.9754,1175.2,ROA
ROC,43.1189,-77.6724,558.8,ROC
ROG,36.3723,-94.1069,1358.8,FSM
ROW,33.3016,-104.5310,3671.0,ROW
RST,43.9083,-92.5000,1317.4,RST
RSW,26.5362,-81.7552,29.7,RSW
RVS,36.0396,-95.9846,637.9,TUL
RYN,32.1422,-111.1750,2418.9,U90
RYY,34.0132,-84.5986,1040.4,A80
SAC,38.5125,-121.4930,23.6,NCT
SAF,35.6171,-106.0890,6348.7,ZAB
SAN,32.7336,-117.1900,16.8,SCT
SAT,29.5337,-98.4698,809.1,SAT
